AppName,WarnName,TimeSpent,pfrSO,pfrDIS,pfrLENG,pfrHENG,Highest CogState
Music1,Red-Icon-Warning,0:00:07:07,0.142857143,0.142857143,0.428571429,0.285714286,pfrLENG
Music2,Maroon-Warning,0:00:09:09,0,0.25,0.625,0.125,pfrLENG
Music3,White-Warning,0:00:08:08,0,0,0.428571429,0.571428571,pfrHENG
Music4,Red-Warning,0:00:05:05,0,0.25,0.75,0,pfrLENG
Sport1,Red-Warning,0:00:05:05,0,0,0,1,pfrHENG
Sport2,Red-Warning,0:00:05:05,0,0,0.4,0.6,pfrHENG
Sport3,Red-Warning,0:00:06:06,0,0.4,0.4,0.2,pfrDIS
Sport4,Maroon-Message-Warning,0:00:11:011,0,0.181818182,0.545454545,0.272727273,pfrLENG
News1,Maroon-Text-Warning,0:00:10:010,0,0.090909091,0.363636364,0.545454545,pfrHENG
News2,Windows-Alert,0:00:12:012,0,0.083333333,0.25,0.666666667,pfrHENG
News3,White-Warning,0:00:04:04,0,0,0.5,0.5,pfrLENG
News4,Windows-Alert,0:00:08:08,0,0,0.5,0.5,pfrLENG
Game1,Windows-Alert,0:00:04:04,0,0,0,1,pfrHENG
Game2,Windows-Alert,0:00:06:06,0,0,0.285714286,0.714285714,pfrHENG
Game3,Maroon-Warning,0:00:04:04,0,0.2,0.2,0.6,pfrHENG
Game4,Windows-Alert,0:00:04:04,0.25,0.25,0.25,0.25,pfrSO
News1,Maroon-Warning,0:00:06:06,0,0.166666667,0.666666667,0.166666667,pfrLENG
News2,Red-Icon-Warning,0:00:05:05,0,0,0.2,0.8,pfrHENG
News3,Red-Icon-Warning,0:00:03:03,0,0,0.333333333,0.666666667,pfrHENG
News4,Red-Icon-Warning,0:00:03:03,0,0,0.666666667,0.333333333,pfrLENG
Game1,Maroon-Message-Warning,0:00:06:06,0.142857143,0.428571429,0,0.428571429,pfrDIS
Game2,Maroon-Text-Warning,0:00:04:04,0,0.25,0.25,0.5,pfrHENG
Game3,Red-Warning,0:00:03:03,0,0,0.666666667,0.333333333,pfrLENG
Game4,Red-Warning,0:00:05:05,0,0,0.4,0.6,pfrHENG
Music1,Maroon-Warning,0:00:03:03,0.333333333,0.333333333,0.333333333,0,pfrSO
Music2,Maroon-Text-Warning,0:00:05:05,0,0.166666667,0.833333333,0,pfrLENG
Music3,Maroon-Warning,0:00:04:04,0,0,0.5,0.5,pfrLENG
Music4,Maroon-Text-Warning,0:00:04:04,0,0.5,0,0.5,pfrDIS
Sport1,Windows-Alert,0:00:05:05,0.2,0,0.6,0.2,pfrLENG
Sport2,Maroon-Text-Warning,0:00:02:02,0,0,0.666666667,0.333333333,pfrLENG
Sport3,White-Warning,0:00:03:03,0,0,0.5,0.5,pfrLENG
Sport4,Windows-Alert,0:00:05:05,0,0.5,0.5,0,pfrDIS
Sport1,Maroon-Warning,0:00:03:03,0.25,0,0.25,0.5,pfrHENG
Sport2,Windows-Alert,0:00:03:03,0,0.666666667,0,0.333333333,pfrDIS
Sport3,Red-Icon-Warning,0:00:03:03,0,0,0.5,0.5,pfrLENG
Sport4,Maroon-Warning,0:00:02:02,0,0.5,0,0.5,pfrDIS
Music1,Maroon-Message-Warning,0:00:03:03,0,0,0,1,pfrHENG
Music2,White-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Music3,Red-Warning,0:00:02:02,0,1,0,0,pfrDIS
Music4,Maroon-Warning,0:00:03:03,0,0,0.666666667,0.333333333,pfrLENG
Game1,Maroon-Text-Warning,0:00:02:02,0,0,1,0,pfrLENG
